CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Albendazole,Albendazole,1.0,100.0,100.0,Fuzzy,1979-October,11/06/1996,"Anthelmetic- indicated in the control of Gastro-intestinal roundworm, lungworm, tapewarm & adult liver flukes in cattle, sheep.","Treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium."
Amantadine Hydrochloride,Amantadine Hydrochloride,1.0,100.0,100.0,Fuzzy,1972-December,24/08/2017,Parkinsonism,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications
Amifostine,Amifostine,1.0,100.0,100.0,Fuzzy,6/11/2000,08/12/1995,NOC issued for additional indication; for use in association with standard fractionated radiation therapy to protec aganst acute and late xeroxtomia in hand and neck cancer.,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.
Amiodarone hcl,Amiodarone Hcl,1.0,100.0,100.0,Fuzzy,1990- April,03/08/1995,"In the treatment of control of ventricular and supraventricular arrhythmia where other drug cannot be used, arrhythmia associated with wolf-white syndrome.",For initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.
Aprotinin,Aprotinin,1.0,100.0,100.0,Fuzzy,1974,29/12/1993,,
Botulinum toxin type-A,Botulinum Toxin Type A,1.0,100.0,100.0,Fuzzy,2004,29/12/1989,Additional indication- adult spasticity.,Treatment of strabismus associated with dystonia in adults (patients 12 years of age and above)
Budesonide,Budesonide,1.0,100.0,100.0,Fuzzy,17.06.08,15/12/2021,For the treatment of ulcerative colitis.,"to reduce proteinuria in adults with primary immunoglobulin A nephropathy (IgAN) at risk of rapid disease progression, generally a urine protein-to-creatinine ratio (UPCR) > or = 1.5 g/g"
Cladribine,Cladribine,1.0,100.0,100.0,Fuzzy,09.09.2003,26/02/1993,Anti cancer.,
Diazepam,Diazepam (,1.0,100.0,100.0,Fuzzy,1977-December,10/01/2020,,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patients usual seizure pattern in patients with epilepsy 6 years of age and older."
Dichlorphenamide,Dichlorphenamide,1.0,100.0,100.0,Fuzzy,1964- January,07/08/2015,Carbonic anhydrase inhibitor.,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants"
Gabapentin,Gabapentin,1.0,100.0,100.0,Fuzzy,6/6/2003,28/01/2011,Additional strength by RMP,For the management of postherpetic neuralgia
