CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Abatacept,Abatacept,1.0,100.0,100.0,Fuzzy,4/10/2009,15/12/2021,Reducing signs and symptoms of moderate to severe active polyarticular juvenile idiopathic arthritis,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor"
Acetylcysteine,Acetylcysteine,1.0,100.0,100.0,Fuzzy,3/1/1966,23/01/2004,Mucolytic enzyme,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur"
Acyclovir,Acyclovir,1.0,100.0,100.0,Fuzzy,9/11/2010,29/03/2019,Treatment of uncomplicated herpes zoster in immunocompetent patients,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.
Afatinib,Afatinib,1.0,100.0,100.0,Fuzzy,12/30/2014,15/04/2016,Treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with EGFR mutation,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy"
Albendazole,Albendazole,1.0,100.0,100.0,Fuzzy,11/28/2011,11/06/1996,"Treatment of systemic helminth infections: neurocysticercosis, echinococcosis","Treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium."
Alectinib,Alectinib,1.0,100.0,100.0,Fuzzy,1/23/2017,18/04/2024,Treatment of ALK-positive metastatic non-small cell lung cancer (NSCLC) after progression on or intolerance to Crizotinib,"adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors greater than or equal to 4 cm or node positive), as detected by an FDA-approved test"
Altretamine,Altretamine,1.0,100.0,100.0,Fuzzy,3/29/1995,26/12/1990,Palliative treatment of persistent or recurrent ovarian cancer after first-line therapy with cisplatin and/or alkylating agents,Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.
Ambrisentan,Ambrisentan,1.0,100.0,100.0,Fuzzy,5/28/2010,15/06/2007,Treatment of pulmonary arterial hypertension (WHO Group I) in patients with class II or III symptoms to improve exercise capacity and delay clinical worsening,Treatment of pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening
Amifostine,Amifostine,1.0,100.0,100.0,Fuzzy,5/3/2001,08/12/1995,Approved for import as finished formulation,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.
Apomorphine HCl,Apomorphine Hcl,1.0,100.0,100.0,Fuzzy,11/12/2007,20/04/2004,Treatment of erectile dysfunction in adult men,"For the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose-wearing-off"" and unpredictable :on/off"" episodes) associated with advanced Parkinson's disease"
