CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
azacitidine,azacitidine,1.0,100.0,100.0,Fuzzy,9/1/2015,7/28/21,For the treatment of adult patients with all subtypes of Myelodysplastic Syndrome.,Treatment of Juvenile myelomonocytic leukemia
bosentan,bosentan,1.0,100.0,100.0,Fuzzy,6/23/2009,10/6/00,"For the treatment of pulmonary arterial hypertension (WHO Group I) in patients with WHO Class III or IV symptoms, to improve excercise ability and decrease the rate of clinical worsening.",Treatment of pulmonary arterial hypertension
glatiramer acetate,glatiramer acetate,1.0,100.0,100.0,Fuzzy,2/21/2007,11/9/87,Multiple sclerosis.,Treatment of multiple sclerosis
ketoconazole,levoketoconazole,1.0,100.0,100.0,Fuzzy,10/1/1986,3/9/12,"Oral anti fungal agent- Indicated in the treatment of systemic fungal infections, candidiasis, chronic mucocutaneous candidiasis, vaginal candidiasis, oral rush candiduria etc.",Treatment of endogenous Cushing's syndrome
lomefloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,5/20/1994,4/18/91,In the treatment of mild to moderate infections caused by susceptible starins of designated micro-organism in RTI uncomplicated and complicated UTI.,Treatment of bacterial corneal ulcers.
melphalan,Melphalan,1.0,100.0,100.0,Fuzzy,10/1/1964,2/24/92,Anti-cancer drug.,Treatment of patients with multiple myeloma for whom oral therapy is inappropriate.
acyclovir,acyclovir,1.0,100.0,100.0,Fuzzy,10/1/1987,12/13/10,For the treatment of uncomplicated Herbis Zoster in immunocompetent patients.,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2
edaravone,edaravone,1.0,100.0,100.0,Fuzzy,7/27/2007,5/12/15,"For the improvement of neurological symptoms, disorder of activities of daily living, and functional disorder associated with acute ischaemic stroke.",Treatment of amyotrophic lateral sclerosis
clostridium botulinum toxin type-a,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,6/3/2011,3/22/84,For the treatment of benign essential blepharospasm in patients 18 years of age and above.,Treatment of strabismus and blepharospasms
nitazoxanide,nitazoxanide,1.0,100.0,100.0,Fuzzy,3/17/2004,2/14/02,,Treatment of intestinal giardiasis
pemetrexed disodium,pemetrexed disodium,1.0,100.0,100.0,Fuzzy,3/12/2008,8/28/01,As monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has to progressed immediately following platinum based chemotherapy.,Treatment of malignant pleural mesothelioma
mebendazole,mebendazole,1.0,100.0,100.0,Fuzzy,12/1/1978,9/3/14,,"Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm)."
pirfenidone,pirfenidone,1.0,100.0,100.0,Fuzzy,9/14/2010,3/5/04,For the treatment of idiopathic pulmonary fibrosis.,Treatment of idiopathic pulmonary fibrosis
pazopanib,pazopanib,1.0,100.0,100.0,Fuzzy,10/19/2010,10/20/09,For the treatment of patients with advanced Soft Tissue Sarcoma (STS) who have received prior chemotherapy.,Treatment of soft tissue sarcomas
aprotinin,Aprotinin,1.0,100.0,100.0,Fuzzy,11/1/1973,11/17/93,Acute Pancreatites.,"For prophylactic use to reduce perioperative blood loss and the homologous blood transfusion requirement in patients undergoing cardiopulmonary bypass surgery in the course of repeat coronary artery bypass graft surgery, and in selected cases of primary coronary artery bypass graft surgery where the risk of bleeding is especially high (impaired hemostasis) or where transfusion is unavailable or unacceptable."
baclofen,baclofen,1.0,100.0,100.0,Fuzzy,8/1/2006,11/10/87,,"Treatment of intractable spasticity caused by spinal cord injury, multiple sclerosis, and other spinal diseases (including spinal ischemia, spinal tumor, transverse myelitis, cervical spondylosis, and degenerative myelopathy)."
eribulin mesylate,eribulin mesylate,1.0,100.0,100.0,Fuzzy,1/27/2012,5/14/12,For the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease. Prior therapy should have included an anthracycline and a taxane unless patients were Þ¡,Treatment of soft tissue sarcoma
mitomycin-c,mitomycin-C,1.0,100.0,100.0,Fuzzy,12/1/1972,1/8/08,,Treatment of refractory glaucoma as an adjunct to surgery
deferiprone,deferiprone,1.0,100.0,100.0,Fuzzy,,12/12/01,,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy
hydrocortisone,Hydrocortisone,1.0,100.0,100.0,Fuzzy,8/9/1999,5/13/15,For adjunctive therapy in the topical treatment of ulcerative proctitis of the distal portion of the rectum in patients of ulcerative colitis & proctosigmoditis.,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).
hydroxyurea,Hydroxyurea,1.0,100.0,100.0,Fuzzy,1/1/1971,10/1/90,Anti neuplastic agent.,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.
meloxicam,meloxicam,1.0,100.0,100.0,Fuzzy,4/2/2002,11/22/02,For the treatment of rheumatoid arthritis and soteoarthritis.,Treatment of juvenile rheumatoid arthritis
desmopressin acetate,Desmopressin acetate,1.0,100.0,100.0,Fuzzy,12/12/2008,1/22/91,"For the treatment of cranial diabetes insipidus , primary noctumal enuresis in patients.",Treatment of mild hemophilia A and von Willebrand's disease.
crizotinib,crizotinib,1.0,100.0,100.0,Fuzzy,12/16/2011,9/13/10,For the treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic lymphoma kinase (ALK) â?? positive as detected by an FDA-approved test.,"Treatment of ALK-positive, MET-positive, or ROS-positive non-small cell lung cancer"
zidovudine,zidovudine,1.0,100.0,100.0,Fuzzy,4/1/1988,7/17/85,Additional strength for HIV.,Treatment of AIDS
eltrombopag,eltrombopag,1.0,100.0,100.0,Fuzzy,10/19/2010,11/8/13,"For the treatment of thrombocytopenia in patients with chronic immune (idiopathic) thrombocytopenic purpura who have had an insufficient response to corticosteroids, immunoglobulins, or splenectomy. (It should be used only in patients with ITP whose degreÞ¡",Treatment of aplastic anemia
bedaquiline,bedaquiline,1.0,100.0,100.0,Fuzzy,1/14/2015,1/10/05,"In adults (â?¥ 18 years), as part of combination therapy of pulmonary tuberculosis due to multi-drug resistant Mycobacterium tuberculosis when an effective treatment regimen cannot otherwise be provided.",Treatment of active tuberculosis
nilotinib,nilotinib,1.0,100.0,100.0,Fuzzy,9/29/2010,4/27/06,For the treatment of chronic and accelerated phase Philadelphia chromosome positive chronic myelogenous leukemia (CML) in adult patients resistant to or intolerant to prior therapy that included imatinib.,Treatment of chronic myelogenous leukemia
