CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Gabapentin,gabapentin,1.0,100.0,100.0,Fuzzy,6/6/2003,11/8/10,Additional strength by RMP,Management of postherpetic neuralgia
Norfloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,1990- February,4/18/91,,Treatment of bacterial corneal ulcers.
Melphalan,Melphalan,1.0,100.0,100.0,Fuzzy,1964- October,2/24/92,Anti-cancer drug.,Treatment of patients with multiple myeloma for whom oral therapy is inappropriate.
Tetrabenazine,Tetrabenazine,1.0,100.0,100.0,Fuzzy,10/3/1999,12/11/97,"In treatment of movement disorders associated with organic CNS conditions like Huntington's chorea, hemiballismus and senil chorea.",Treatment of Huntington's disease
Tretinoin,Tretinoin,1.0,100.0,100.0,Fuzzy,1974-July,10/24/90,Topical acne therapy- For the treatment of Acne vulgaris.,Treatment of acute promyelocytic leukemia.
Amiodarone hcl,Amiodarone HCl,1.0,100.0,100.0,Fuzzy,1990- April,3/16/94,"In the treatment of control of ventricular and supraventricular arrhythmia where other drug cannot be used, arrhythmia associated with wolf-white syndrome.",For the acute treatment and prophylaxis of life-threatening ventricular tachycardia or ventricular fibrillation.
Ganciclovir sodium,Ganciclovir sodium,1.0,100.0,100.0,Fuzzy,5/4/2000,10/31/85,For the prevention & treatment of cytomegalo virus disease in immuno compromised individuals and for the prevention of CMV disease in transplant receipients.,Treatment of cytomegalovirus retinitis in immunocompromised patients with AIDS.
Amantadine Hydrochloride,Amantadine hydrochloride,1.0,100.0,100.0,Fuzzy,1972-December,4/9/15,Parkinsonism,Treatment of levodopa-induced dyskinesia
Botulinum toxin type-A,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,2004,3/22/84,Additional indication- adult spasticity.,Treatment of strabismus and blepharospasms
Fenbendazole,mebendazole,1.0,100.0,100.0,Fuzzy,1979-January,9/3/14,Anthelmetic- indicated to treat gastro-intestinal nematodes infections of live stocks.,"Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm)."
Thiabendazole,triclabendazole,1.0,100.0,100.0,Fuzzy,1968- July,4/17/17,,Treatment of fascioliasis
Nafarelin acetate,Nafarelin acetate,1.0,100.0,100.0,Fuzzy,17-03-1999,7/20/88,Endometriosis and central precarious puberty only (for gynaecologist only),Treatment of central precocious puberty.
Glycopyrrolate,glycopyrrolate,1.0,100.0,100.0,Fuzzy,1979-December,6/9/06,"Anaesthetic agent- for use as a pre operative antimuscarine to reduce salivary, tracheobronchial & phyrigeal secretions, arrhythmias & brodycardia associated with reversal o muscle relaxant.",Treatment of pathologic (chronic moderate to severe) drooling in pediatric patients
Selegiline hcl,Selegiline HCl,1.0,100.0,100.0,Fuzzy,1991- August,11/7/84,Parkinsonism- Indicated in the treatment of Parkinson's disease.,"As an adjuvant to levodopa and carbidopa treatment of idiopathic Parkinson's disease (paralysis agitans), postencephalitic Parkinsonism, and symptomatic Parkinsonism."
Ifosfamide,Ifosfamide,1.0,100.0,100.0,Fuzzy,1978-September,1/20/87,"Anticancer- indicated in the treatment of ovarian, breast, testicular carcinoma, hyper nephrone, pancreatic carcinoma and malignant lymphoma.",Treatment of testicular cancer.
Rifampicin,Rifampin,1.0,100.0,100.0,Fuzzy,1971- September,12/9/85,,For antituberculosis treatment where use of the oral form of the drug is not feasible.
Mifepristone,mifepristone,1.0,100.0,100.0,Fuzzy,13-02-2002,7/5/07,By gynaecologist only- for medical termination of intrauterine pregnancy through 49 days of inception.,Treatment of the clinical manifestations of endogenous Cushing's syndrone
Dichlorphenamide,dichlorphenamide,1.0,100.0,100.0,Fuzzy,1964- January,9/2/10,Carbonic anhydrase inhibitor.,Treatment of primary periodic paralyses
Ofloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,1990- February,4/18/91,"Antibacterial agents- For the treatment of respiratory tract infection, UTI, gynaecological infection, skin or soft tissue infection.",Treatment of bacterial corneal ulcers.
