CDSCO Drug Name,FDA Drug Name,Similarity Score,Token Score,Ratio Score,Match Type,CDSCO Approval Date,FDA Approval Date,CDSCO Indication,FDA Indication
Acetylcysteine,acetylcysteine,1.0,100.0,100.0,Fuzzy,3/1/1966,10/19/01,Mucolytic enzyme,For the intravenous treatment of moderate to severe acetaminophen overdose
Glatiramer acetate,glatiramer acetate,1.0,100.0,100.0,Fuzzy,6/3/2009,11/9/87,Reduction of frequency of relapses in relapsing-remitting multiple sclerosis,Treatment of multiple sclerosis
Lomefloxacin,Ofloxacin,1.0,100.0,100.0,Fuzzy,7/22/1998,4/18/91,Treatment of bacterial infection of the eye,Treatment of bacterial corneal ulcers.
Meloxicam,meloxicam,1.0,100.0,100.0,Fuzzy,2/23/2015,11/22/02,Non-steroidal anti-inflammatory,Treatment of juvenile rheumatoid arthritis
Melphalan,Melphalan,1.0,100.0,100.0,Fuzzy,10/1/1964,2/24/92,Anti-cancer drug,Treatment of patients with multiple myeloma for whom oral therapy is inappropriate.
Acyclovir,acyclovir,1.0,100.0,100.0,Fuzzy,9/11/2010,12/13/10,Treatment of uncomplicated herpes zoster in immunocompetent patients,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2
Edaravone,edaravone,1.0,100.0,100.0,Fuzzy,7/27/2007,5/12/15,"Improvement of neurological symptoms, daily living disorder, and functional disorder in acute ischaemic stroke",Treatment of amyotrophic lateral sclerosis
Clostridium botulinum toxin type-A,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,9/27/2007,3/22/84,Treatment of benign essential blepharospasm in adults,Treatment of strabismus and blepharospasms
Nitazoxanide,nitazoxanide,1.0,100.0,100.0,Fuzzy,3/17/2004,2/14/02,,Treatment of intestinal giardiasis
Pemetrexed disodium,pemetrexed disodium,1.0,100.0,100.0,Fuzzy,10/8/2008,8/28/01,"In combination with cisplatin, first-line treatment of advanced/metastatic non-small cell lung cancer (non-squamous)",Treatment of malignant pleural mesothelioma
Mebendazole,mebendazole,1.0,100.0,100.0,Fuzzy,12/1/1974,9/3/14,,"Treatment of single or mixed gastrointestinal infestations by Trichuris trichiura (whipworm), Ascaris lumbricoides (large roundworm), and Ancylostoma duodenale and Nectar americanus (hookworm)."
Pirfenidone,pirfenidone,1.0,100.0,100.0,Fuzzy,9/14/2010,3/5/04,Treatment of idiopathic pulmonary fibrosis,Treatment of idiopathic pulmonary fibrosis
Bosentan,bosentan,1.0,100.0,100.0,Fuzzy,6/23/2009,10/6/00,Treatment of pulmonary arterial hypertension (WHO Group I) in patients with class III or IV symptoms to improve exercise ability and decrease clinical worsening,Treatment of pulmonary arterial hypertension
Pazopanib,pazopanib,1.0,100.0,100.0,Fuzzy,2/23/2015,10/20/09,Treatment of advanced soft tissue sarcoma (STS) in patients who have received prior chemotherapy,Treatment of soft tissue sarcomas
Triclabendazole,triclabendazole,1.0,100.0,100.0,Fuzzy,9/1/1988,4/17/17,"Broad spectrum flukicide for treatment of chronic fascioliasis (F. gigantica, F. hepatica) in livestock",Treatment of fascioliasis
Baclofen,baclofen,1.0,100.0,100.0,Fuzzy,2/22/2007,11/10/87,As approved,"Treatment of intractable spasticity caused by spinal cord injury, multiple sclerosis, and other spinal diseases (including spinal ischemia, spinal tumor, transverse myelitis, cervical spondylosis, and degenerative myelopathy)."
Eribulin mesylate,eribulin mesylate,1.0,100.0,100.0,Fuzzy,2/18/2015,5/14/12,Treatment of locally advanced or metastatic breast cancer after at least one prior chemotherapy regimen,Treatment of soft tissue sarcoma
Mitomycin-C,mitomycin-C,1.0,100.0,100.0,Fuzzy,12/1/1972,1/8/08,—,Treatment of refractory glaucoma as an adjunct to surgery
Hydrocortisone,Hydrocortisone,1.0,100.0,100.0,Fuzzy,8/9/1999,5/13/15,Adjunctive therapy in topical treatment of ulcerative proctitis of distal rectum in ulcerative colitis and proctosigmoiditis,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).
Hydroxyurea,Hydroxyurea,1.0,100.0,100.0,Fuzzy,4/1/2004,10/1/90,,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.
Desmopressin acetate,Desmopressin acetate,1.0,100.0,100.0,Fuzzy,12/12/2008,1/22/91,"Treatment of cranial diabetes insipidus, primary nocturnal enuresis",Treatment of mild hemophilia A and von Willebrand's disease.
Crizotinib,crizotinib,1.0,100.0,100.0,Fuzzy,12/16/2011,9/13/10,Treatment of ALK-positive locally advanced/metastatic non-small cell lung cancer (NSCLC),"Treatment of ALK-positive, MET-positive, or ROS-positive non-small cell lung cancer"
Zidovudine,zidovudine,1.0,100.0,100.0,Fuzzy,12/18/1998,7/17/85,Additional strength for HIV,Treatment of AIDS
Botulinum toxin type A,Botulinum toxin type A,1.0,100.0,100.0,Fuzzy,1/13/1994,3/22/84,"Treatment of blepharospasm, hemifacial spasm, and focal dystonias",Treatment of strabismus and blepharospasms
Eltrombopag,eltrombopag,1.0,100.0,100.0,Fuzzy,10/19/2010,11/8/13,Treatment of chronic immune thrombocytopenic purpura (ITP) in patients unresponsive to other therapies,Treatment of aplastic anemia
Tranexamic acid,tranexamic acid,1.0,100.0,100.0,Fuzzy,6/6/2003,12/3/85,"Abnormal bleeding associated with local hyperfibrinolysis (e.g. pulmonary hemorrhage, epistaxis, renal bleeding, prostate surgery)","For use in patients with congenital coagulopathies undergoing surgical procedures, e.g. dental extractions"
Artesunate,artesunate,1.0,100.0,100.0,Fuzzy,7/2/2014,3/28/06,Treatment of severe falciparum malaria in quinine-resistant areas,Immediate treatment of malaria
Ketoconazole,levoketoconazole,1.0,100.0,100.0,Fuzzy,10/1/1986,3/9/12,"Oral antifungal agent for systemic fungal infections, candidiasis, mucocutaneous/vaginal candidiasis, oral thrush",Treatment of endogenous Cushing's syndrome
Temozolomide,temozolomide,1.0,100.0,100.0,Fuzzy,1/17/2000,10/5/98,"Treatment of recurrent malignant glioma (glioblastoma multiforme, anaplastic astrocytoma) in adults",Treatment of recurrent malignant glioma.
Ibrutinib,ibrutinib,1.0,100.0,100.0,Fuzzy,10/7/2015,6/23/16,"Treatment of adult patients with mantle cell lymphoma (MCL), CLL after prior therapy, or CLL with 17p deletion",Treatment of chronic Graft versus Host disease
Cinacalcet,cinacalcet,1.0,100.0,100.0,Fuzzy,1/16/2009,4/30/10,Treatment of secondary hyperparathyroidism in CKD on dialysis and hypercalcemia in parathyroid carcinoma,"Treatment of hypercalcemia in patients with primary hyperparathyroidism for whom parathyroidectomy would be indicated on the basis of serum calcium levels, but who are unable to undergo surgery"
Amphotericin B,Liposomal amphotericin B,1.0,100.0,100.0,Fuzzy,7/18/2009,12/10/96,Febrile neutropenia in cancer patients,Treatment of cryptococcal meningitis.
Ambrisentan,ambrisentan,1.0,100.0,100.0,Fuzzy,5/28/2010,7/16/04,Treatment of pulmonary arterial hypertension (WHO Group I) in patients with class II or III symptoms to improve exercise capacity and delay clinical worsening,Treatment of pulmonary arterial hypertension
Bendamustine hydrochloride,bendamustine hydrochloride,1.0,100.0,100.0,Fuzzy,5/19/2009,11/26/13,Treatment of chronic lymphocytic leukemia,"Treatment of Follicular Lymphoma, Small Lymphocytic Lymphoma, Lymphoplasmacytic Lymphoma, Splenic Marginal Zone Lymphoma, Extranodal Marginal Zone B-cell Lymphoma of Mucosa-Associated Lymphoma Tissue (MALT), and Nodal Marginal Zone Lymphoma (Collectively Indolent B-cell Non-Hodgkin's Lymphoma)"
Clofazimine,Clofazimine,1.0,100.0,100.0,Fuzzy,9/1/1969,6/11/84,Anti-leprosy drug,"Treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum."
"Ledipasvir, Sofosbuvir",ledipasvir/sofosbuvir,1.0,100.0,100.0,Fuzzy,12/8/2015,10/12/16,Treatment of chronic hepatitis C genotype 1 infection in adults,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients
Tadalafil,tadalafil,1.0,100.0,100.0,Fuzzy,2/27/2013,12/18/06,Treatment of erectile dysfunction; erectile dysfunction with benign prostatic hyperplasia,Treatment of pulmonary arterial hypertension
Tolvaptan,tolvaptan,1.0,100.0,100.0,Fuzzy,9/6/2012,4/6/12,"Treatment of hypervolemic and euvolemic hyponatremia, including patients with heart failure, cirrhosis, SIADH",Treatment of autosomal dominant polycystic kidney disease
Budesonide,budesonide,1.0,100.0,100.0,Fuzzy,8/5/2005,5/17/10,Treatment of ulcerative colitis involving rectal and rectosigmoid diseases,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.
Octreotide,Octreotide,1.0,100.0,100.0,Fuzzy,8/1/2005,8/24/98,—,Treatment of severe diarrhea and flushing associated with malignant carcinoid tumors.
Gabapentin,gabapentin,1.0,100.0,100.0,Fuzzy,12/15/2006,11/8/10,Treatment of neuropathic pain; adjunctive therapy for partial seizures in adults,Management of postherpetic neuralgia
Exemestane,Exemestane,1.0,100.0,100.0,Fuzzy,8/29/2009,9/19/91,"Adjuvant treatment of postmenopausal women with estrogen receptor-positive early breast cancer after 2–3 years of tamoxifen, switching to exemestane to complete 5 years of therapy",Treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.
Cyclosporin,cyclosporine,1.0,100.0,100.0,Fuzzy,3/10/2003,5/4/07,Treatment of moderate to severe dry eye syndrome (keratoconjunctivitis sicca),Treatment of vernal keratoconjunctivitis
Mifepristone,mifepristone,1.0,100.0,100.0,Fuzzy,2/13/2002,7/5/07,Medical termination of intrauterine pregnancy through 49 days (by gynecologist only),Treatment of the clinical manifestations of endogenous Cushing's syndrone
Rifampicin,Rifampin,1.0,100.0,100.0,Fuzzy,9/1/1971,12/9/85,,For antituberculosis treatment where use of the oral form of the drug is not feasible.
Ribavirin,ribavirin,1.0,100.0,100.0,Fuzzy,11/1/2006,4/4/03,"Additional indication: 24-week regimen for hepatitis C (genotype 1), low viral load, HCV RNA negative at 4 weeks",Treatment of chronic hepatitis C in pediatric patients
Fenfluramine,fenfluramine,1.0,100.0,100.0,Fuzzy,7/9/1993,6/19/17,—,Treatment of Lennox-Gastaut syndrome
